SEASON,NAME_TEAM,N_PLAY,SCORE_FAVOR,SCORE_AGAINST,WINS,DRAWS,LOSES,POINTS
2008-09,RCD Español,1,1,0,1,0,0,3
2008-09,Valencia CF,1,3,0,1,0,0,3
2008-09,Athletic Club Bilbao,1,1,3,0,0,1,0
2008-09,Atlético Madrid,1,4,0,1,0,0,3
2008-09,Real Betis,1,0,1,0,0,1,0
2008-09,RCD La Coruña,1,2,1,1,0,0,3
2008-09,CD Numancia,1,1,0,1,0,0,3
2008-09,CA Osasuna,1,1,1,0,1,0,1
2008-09,Real Racing Santander,1,1,1,0,1,0,1
2008-09,Sporting Gijón,1,1,2,0,0,1,0
2008-09,FC Barcelona,2,1,1,0,1,0,1
2008-09,Real Valladolid CF,2,2,1,1,0,0,3
2008-09,UD Almería,2,2,2,0,1,0,1
2008-09,Getafe CF,2,0,0,0,1,0,1
2008-09,Málaga CF,2,0,0,0,1,0,1
2008-09,RCD Mallorca,2,1,1,0,1,0,1
2008-09,Real Madrid CF,2,4,3,1,0,0,3
2008-09,Recreativo Huelva,2,0,1,0,0,1,0
2008-09,Sevilla FC,2,4,3,1,0,0,3
2008-09,Villarreal CF,2,1,0,1,0,0,3
2008-09,Atlético Madrid,3,4,0,1,0,0,3
2008-09,RCD Español,3,1,1,0,1,0,1
2008-09,UD Almería,3,1,0,1,0,0,3
2008-09,Athletic Club Bilbao,3,2,0,1,0,0,3
2008-09,Real Betis,3,0,0,0,1,0,1
2008-09,RCD La Coruña,3,0,0,0,1,0,1
2008-09,CD Numancia,3,1,2,0,0,1,0
2008-09,Real Racing Santander,3,0,2,0,0,1,0
2008-09,Sporting Gijón,3,1,6,0,0,1,0
2008-09,Valencia CF,3,1,0,1,0,0,3
2008-09,FC Barcelona,4,3,2,1,0,0,3
2008-09,Getafe CF,4,1,2,0,0,1,0
2008-09,CA Osasuna,4,0,0,0,1,0,1
2008-09,Real Madrid CF,4,7,1,1,0,0,3
2008-09,Sevilla FC,4,2,0,1,0,0,3
2008-09,Villarreal CF,4,2,0,1,0,0,3
2008-09,Málaga CF,4,0,2,0,0,1,0
2008-09,RCD Mallorca,4,2,0,1,0,0,3
2008-09,Recreativo Huelva,4,1,1,0,1,0,1
2008-09,Real Valladolid CF,4,2,0,1,0,0,3
2008-09,Real Betis,5,1,2,0,0,1,0
2008-09,RCD Español,5,1,2,0,0,1,0
2008-09,Sporting Gijón,5,0,1,0,0,1,0
2008-09,UD Almería,5,1,0,1,0,0,3
2008-09,Athletic Club Bilbao,5,0,1,0,0,1,0
2008-09,Atlético Madrid,5,0,1,0,0,1,0
2008-09,Málaga CF,5,2,1,1,0,0,3
2008-09,CD Numancia,5,0,0,0,1,0,1
2008-09,Real Racing Santander,5,1,2,0,0,1,0
2008-09,Valencia CF,5,4,2,1,0,0,3
2008-09,FC Barcelona,6,6,1,1,0,0,3
2008-09,Villarreal CF,6,2,1,1,0,0,3
2008-09,Getafe CF,6,2,2,0,1,0,1
2008-09,RCD La Coruña,6,1,0,1,0,0,3
2008-09,RCD Mallorca,6,0,2,0,0,1,0
2008-09,CA Osasuna,6,0,1,0,0,1,0
2008-09,Real Madrid CF,6,2,2,0,1,0,1
2008-09,Recreativo Huelva,6,0,4,0,0,1,0
2008-09,Sevilla FC,6,4,0,1,0,0,3
2008-09,Real Valladolid CF,6,0,1,0,0,1,0
2008-09,Atlético Madrid,7,1,2,0,0,1,0
2008-09,RCD Español,7,0,0,0,1,0,1
2008-09,UD Almería,7,0,1,0,0,1,0
2008-09,Athletic Club Bilbao,7,0,1,0,0,1,0
2008-09,Real Betis,7,3,0,1,0,0,3
2008-09,Málaga CF,7,2,1,1,0,0,3
2008-09,Real Racing Santander,7,0,0,0,1,0,1
2008-09,Sporting Gijón,7,2,1,1,0,0,3
